"Timestamp","I am at least 18 years old and agree to participate.","Ratings for MB069 [Overall]","Ratings for MB069 [Objects]","Ratings for MB069 [Spatial]","Ratings for MB069 [Colour]","Ratings for MB069 [Typography]","Ratings for MB080 [Overall]","Ratings for MB080 [Objects]","Ratings for MB080 [Spatial]","Ratings for MB080 [Colour]","Ratings for MB080 [Typography]","Ratings for MB051 [Overall]","Ratings for MB051 [Objects]","Ratings for MB051 [Spatial]","Ratings for MB051 [Colour]","Ratings for MB051 [Typography]","Ratings for MB067 [Overall]","Ratings for MB067 [Objects]","Ratings for MB067 [Spatial]","Ratings for MB067 [Colour]","Ratings for MB067 [Typography]","Ratings for MB005 [Overall]","Ratings for MB005 [Objects]","Ratings for MB005 [Spatial]","Ratings for MB005 [Colour]","Ratings for MB005 [Typography]","Ratings for MB058 [Overall]","Ratings for MB058 [Objects]","Ratings for MB058 [Spatial]","Ratings for MB058 [Colour]","Ratings for MB058 [Typography]","Ratings for MB068 [Overall]","Ratings for MB068 [Objects]","Ratings for MB068 [Spatial]","Ratings for MB068 [Colour]","Ratings for MB068 [Typography]","Ratings for MB070 [Overall]","Ratings for MB070 [Objects]","Ratings for MB070 [Spatial]","Ratings for MB070 [Colour]","Ratings for MB070 [Typography]","Ratings for MB044 [Overall]","Ratings for MB044 [Objects]","Ratings for MB044 [Spatial]","Ratings for MB044 [Colour]","Ratings for MB044 [Typography]","Ratings for MB079 [Overall]","Ratings for MB079 [Objects]","Ratings for MB079 [Spatial]","Ratings for MB079 [Colour]","Ratings for MB079 [Typography]","Ratings for MB006 [Overall]","Ratings for MB006 [Objects]","Ratings for MB006 [Spatial]","Ratings for MB006 [Colour]","Ratings for MB006 [Typography]","Ratings for MB068 [Overall]","Ratings for MB068 [Objects]","Ratings for MB068 [Spatial]","Ratings for MB068 [Colour]","Ratings for MB068 [Typography]","Ratings for MB109 [Overall]","Ratings for MB109 [Objects]","Ratings for MB109 [Spatial]","Ratings for MB109 [Colour]","Ratings for MB109 [Typography]","Ratings for MB039 [Overall]","Ratings for MB039 [Objects]","Ratings for MB039 [Spatial]","Ratings for MB039 [Colour]","Ratings for MB039 [Typography]","Ratings for MB074 [Overall]","Ratings for MB074 [Objects]","Ratings for MB074 [Spatial]","Ratings for MB074 [Colour]","Ratings for MB074 [Typography]","Ratings for MB044 [Overall]","Ratings for MB044 [Objects]","Ratings for MB044 [Spatial]","Ratings for MB044 [Colour]","Ratings for MB044 [Typography]","Ratings for MB100 [Overall]","Ratings for MB100 [Objects]","Ratings for MB100 [Spatial]","Ratings for MB100 [Colour]","Ratings for MB100 [Typography]","Ratings for MB062 [Overall]","Ratings for MB062 [Objects]","Ratings for MB062 [Spatial]","Ratings for MB062 [Colour]","Ratings for MB062 [Typography]","Ratings for MB035 [Overall]","Ratings for MB035 [Objects]","Ratings for MB035 [Spatial]","Ratings for MB035 [Colour]","Ratings for MB035 [Typography]","Ratings for MB079 [Overall]","Ratings for MB079 [Objects]","Ratings for MB079 [Spatial]","Ratings for MB079 [Colour]","Ratings for MB079 [Typography]","Ratings for MB033 [Overall]","Ratings for MB033 [Objects]","Ratings for MB033 [Spatial]","Ratings for MB033 [Colour]","Ratings for MB033 [Typography]","Ratings for MB084 [Overall]","Ratings for MB084 [Objects]","Ratings for MB084 [Spatial]","Ratings for MB084 [Colour]","Ratings for MB084 [Typography]","Ratings for MB070 [Overall]","Ratings for MB070 [Objects]","Ratings for MB070 [Spatial]","Ratings for MB070 [Colour]","Ratings for MB070 [Typography]","Ratings for MB014 [Overall]","Ratings for MB014 [Objects]","Ratings for MB014 [Spatial]","Ratings for MB014 [Colour]","Ratings for MB014 [Typography]","Ratings for MB045 [Overall]","Ratings for MB045 [Objects]","Ratings for MB045 [Spatial]","Ratings for MB045 [Colour]","Ratings for MB045 [Typography]","Ratings for MB024 [Overall]","Ratings for MB024 [Objects]","Ratings for MB024 [Spatial]","Ratings for MB024 [Colour]","Ratings for MB024 [Typography]","Ratings for MB019 [Overall]","Ratings for MB019 [Objects]","Ratings for MB019 [Spatial]","Ratings for MB019 [Colour]","Ratings for MB019 [Typography]","Ratings for MB090 [Overall]","Ratings for MB090 [Objects]","Ratings for MB090 [Spatial]","Ratings for MB090 [Colour]","Ratings for MB090 [Typography]","Ratings for MB040 [Overall]","Ratings for MB040 [Objects]","Ratings for MB040 [Spatial]","Ratings for MB040 [Colour]","Ratings for MB040 [Typography]","Ratings for MB061 [Overall]","Ratings for MB061 [Objects]","Ratings for MB061 [Spatial]","Ratings for MB061 [Colour]","Ratings for MB061 [Typography]","Ratings for MB125 [Overall]","Ratings for MB125 [Objects]","Ratings for MB125 [Spatial]","Ratings for MB125 [Colour]","Ratings for MB125 [Typography]","Was anything unclear or is there anything else you would like to share? (Optional, feel free to skip)"
"2026/09/01 7:04:43 PM GMT+3","Yes, I agree","3","4","4","3","4","3","3","3","3","3","3","3","3","3","3","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","3","3","4","3","2","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","5 (best)","4","4","5 (best)","2","4","5 (best)","5 (best)","4","4","5 (best)","4","4","3","4","4","3","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","4","4","4","5 (best)","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","3","4","4","3","4","2","3","4","4","4","4","4","5 (best)","4","4","5 (best)","4","5 (best)","4","3","5 (best)","4","5 (best)","4","3","5 (best)","4","5 (best)","4","5 (best)","5 (best)","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4",""
"2026/09/01 7:37:55 PM GMT+3","Yes, I agree","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","4","4","4","4","4","5 (best)","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","4","4","4","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","5 (best)","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","4","5 (best)","4","4","4","4","4","4","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","4","4","4","4","4","3","4","4","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","4","4","4","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)",""
"2026/09/02 12:30:42 AM GMT+3","Yes, I agree","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","NA"
"2026/09/04 5:44:38 PM GMT+3","Yes, I agree","3","4","2","4","2","2","2","2","2","2","2","2","2","2","2","4","4","4","4","4","3","3","3","2","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","4","2","3","3","3","3","3","2","2","2","2","2","3","3","2","3","3","4","4","4","4","4","4","4","4","3","4","3","3","2","3","3","3","3","2","3","3","4","3","3","4","3","4","4","4","4","4","4","4","4","4","4","3","2","2","2","2","3","2","2","2","2","3","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",""
"2026/09/07 12:55:52 PM GMT+3","Yes, I agree","3","3","4","3","1 (worst)","3","3","3","3","3","2","2","2","2","1 (worst)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","2","2","2","2","1 (worst)","2","2","2","1 (worst)","1 (worst)","5 (best)","5 (best)","5 (best)","5 (best)","4","2","2","2","4","4","4","4","4","4","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","2","2","2","1 (worst)","2","3","2","2","2","2","2","3","3","1 (worst)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","1 (worst)","2","2","2","2","1 (worst)","3","3","3","3","2","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","4","4","4","4","4","3","3","3","3","3","4","4","4","4","1 (worst)","5 (best)","5 (best)","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","5 (best)","4","3","3","3","3","5 (best)","3","4","3","3","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","Some photos are of high quality other's lack prompt preposition "
"2026/09/07 1:17:14 PM GMT+3","Yes, I agree","2","2","4","3","1 (worst)","2","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","3","1 (worst)","4","4","4","4","4","3","2","3","3","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","1 (worst)","2","1 (worst)","2","3","1 (worst)","2","1 (worst)","3","2","1 (worst)","2","1 (worst)","3","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","2","1 (worst)","1 (worst)","2","1 (worst)","2","1 (worst)","2","2","1 (worst)","4","4","4","4","4","3","3","2","4","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","3","3","3","3","3","4","4","4","4","4","3","2","4","4","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","1 (worst)","2","1 (worst)","2","1 (worst)","2","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","1 (worst)","1 (worst)","3","4","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","4","2","3","4","2","3","4","3","2","2","3","2","1 (worst)","3","2","2","2","3","4","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)",""
"2026/09/07 1:42:19 PM GMT+3","Yes, I agree","2","1 (worst)","3","4","3","3","2","3","3","2","2","1 (worst)","2","1 (worst)","2","3","3","4","4","4","2","3","2","2","4","2","1 (worst)","3","2","2","3","2","3","4","2","3","2","4","4","4","2","1 (worst)","4","4","3","2","2","3","2","2","2","2","3","2","2","2","1 (worst)","3","3","2","2","1 (worst)","3","2","2","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","3","3","4","2","3","2","1 (worst)","3","3","2","3","4","4","4","1 (worst)","4","4","4","4","4","3","2","4","4","1 (worst)","2","1 (worst)","2","1 (worst)","1 (worst)","2","1 (worst)","2","2","1 (worst)","2","2","3","3","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","3","2","2","4","4","2","1 (worst)","3","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","3","3","3","2","1 (worst)","3","4","4","4","1 (worst)","1 (worst)","1 (worst)","2","3","4","2","2","3","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)",""
"2026/09/07 4:07:48 PM GMT+3","Yes, I agree","2","2","1 (worst)","3","1 (worst)","2","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","2","2","1 (worst)","3","4","1 (worst)","4","4","3","4","4","4","1 (worst)","2","4","4","2","1 (worst)","1 (worst)","2","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","5 (best)","2","2","1 (worst)","2","1 (worst)","1 (worst)","5 (best)","5 (best)","1 (worst)","1 (worst)","2","2","1 (worst)","2","1 (worst)","2","2","1 (worst)","2","1 (worst)","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","2","5 (best)","5 (best)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","3","5 (best)","5 (best)","5 (best)","1 (worst)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","2","2","2","2","1 (worst)","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","3","3","5 (best)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","5 (best)","1 (worst)","4","5 (best)","1 (worst)","2","1 (worst)","2","1 (worst)","3","3","1 (worst)","4","1 (worst)","4","5 (best)","5 (best)","3","1 (worst)","4","5 (best)","5 (best)","5 (best)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","5 (best)","2","5 (best)","5 (best)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)",""
"2026/09/07 4:13:14 PM GMT+3","Yes, I agree","3","2","2","3","1 (worst)","3","2","3","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","1 (worst)","2","2","1 (worst)","3","4","2","1 (worst)","2","2","1 (worst)","2","2","1 (worst)","2","1 (worst)","2","2","1 (worst)","3","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","3","2","1 (worst)","1 (worst)","3","1 (worst)","2","2","2","3","1 (worst)","2","1 (worst)","2","2","2","1 (worst)","2","1 (worst)","2","1 (worst)","3","2","2","2","1 (worst)","2","2","2","2","3","2","2","1 (worst)","2","1 (worst)","2","2","2","1 (worst)","1 (worst)","2","2","3","3","1 (worst)","2","2","2","3","4","2","2","2","2","1 (worst)","2","2","1 (worst)","3","1 (worst)","2","2","2","2","1 (worst)","2","2","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","1 (worst)","2","2","2","2","4","2","2","1 (worst)","2","1 (worst)","2","2","1 (worst)","1 (worst)","1 (worst)","2","3","2","2","1 (worst)","1 (worst)","2","1 (worst)","2","1 (worst)","2","2","2","2","4","1 (worst)","3","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)",""
"2026/09/07 4:56:11 PM GMT+3","Yes, I agree","2","2","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","4","4","3","5 (best)","5 (best)","3","2","2","4","1 (worst)","3","3","2","4","1 (worst)","3","2","2","2","2","2","2","1 (worst)","5 (best)","5 (best)","2","2","2","4","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","2","1 (worst)","2","1 (worst)","2","2","1 (worst)","1 (worst)","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","5 (best)","5 (best)","3","5 (best)","5 (best)","4","4","2","3","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","4","4","3","5 (best)","2","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","3","2","2","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","4","4","2","4","5 (best)","3","2","2","3","1 (worst)","3","2","3","3","1 (worst)","4","5 (best)","5 (best)","5 (best)","2","4","5 (best)","5 (best)","5 (best)","2","2","2","1 (worst)","1 (worst)","5 (best)","2","2","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)",""
"2026/09/07 5:07:16 PM GMT+3","Yes, I agree","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)",""
"2026/09/07 8:05:06 PM GMT+3","Yes, I agree","2","1 (worst)","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","3","5 (best)","4","5 (best)","4","2","3","1 (worst)","1 (worst)","1 (worst)","2","2","1 (worst)","2","1 (worst)","3","2","1 (worst)","2","1 (worst)","2","2","2","2","2","2","2","3","4","1 (worst)","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","2","1 (worst)","2","1 (worst)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","3","3","1 (worst)","2","1 (worst)","4","4","4","4","4","2","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","3","2","3","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1 (worst)","4","5 (best)","1 (worst)","5 (best)","2","5 (best)","4","4","4","2","3","2","4","4","5 (best)","2","2","2","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)",""
"2026/09/07 8:23:40 PM GMT+3","Yes, I agree","3","3","4","4","3","4","4","3","3","3","3","4","3","3","3","4","4","4","4","3","3","2","2","3","3","3","2","3","3","3","4","4","4","4","4","3","3","3","3","3","4","4","3","4","4","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","4","4","3","4","4","3","3","3","3","3","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","3","3","4","4","3","4","4","4","NA"
"2026/09/07 10:57:16 PM GMT+3","Yes, I agree","3","3","3","3","1 (worst)","3","3","3","2","1 (worst)","3","2","3","4","1 (worst)","3","5 (best)","2","4","5 (best)","4","5 (best)","3","5 (best)","1 (worst)","2","2","2","2","1 (worst)","4","3","3","4","2","3","2","2","4","5 (best)","3","3","1 (worst)","5 (best)","1 (worst)","3","4","3","2","1 (worst)","2","2","2","3","1 (worst)","3","3","2","3","1 (worst)","2","2","2","2","1 (worst)","4","5 (best)","2","5 (best)","5 (best)","3","2","2","3","1 (worst)","3","2","2","4","1 (worst)","3","3","3","3","1 (worst)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","3","2","3","2","1 (worst)","3","3","2","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","2","2","2","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","4","3","4","4","5 (best)","4","4","4","4","1 (worst)","4","3","3","4","1 (worst)","4","3","3","3","1 (worst)","4","4","4","5 (best)","1 (worst)","3","2","3","4","5 (best)","3","3","2","5 (best)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)",""
"2026/09/08 1:18:00 AM GMT+3","Yes, I agree","4","5 (best)","3","3","2","3","4","4","2","2","3","1 (worst)","2","4","1 (worst)","4","5 (best)","3","4","5 (best)","4","2","3","3","1 (worst)","3","2","4","5 (best)","3","3","5 (best)","4","3","1 (worst)","3","4","2","5 (best)","3","4","3","2","5 (best)","2","3","4","2","3","1 (worst)","3","2","4","5 (best)","3","3","3","2","4","1 (worst)","4","2","3","3","4","3","4","2","5 (best)","3","2","3","3","2","4","4","2","4","5 (best)","3","3","4","2","2","1 (worst)","4","3","3","2","5 (best)","4","3","5 (best)","2","3","3","4","1 (worst)","3","5 (best)","4","3","5 (best)","3","4","4","3","3","2","3","4","2","3","1 (worst)","2","2","2","3","1 (worst)","4","4","2","3","5 (best)","3","2","4","3","5 (best)","4","1 (worst)","2","3","5 (best)","3","4","5 (best)","4","4","5 (best)","2","5 (best)","4","3","1 (worst)","2","4","3","4","5 (best)","2","5 (best)","3","4","2",""
"2026/09/08 2:14:49 AM GMT+3","Yes, I agree","3","4","3","4","4","3","4","4","3","4","3","4","4","4","4","3","2","2","3","3","2","2","2","2","2","2","2","2","2","2","4","4","4","4","4","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","3","3","2","2","2","4","4","4","4","4","3","3","2","2","2","4","4","4","4","4","2","2","2","2","2","2","3","3","3","2","2","2","2","2","2","2","2","2","2","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","4","4","5 (best)","5 (best)","5 (best)","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","2","2","2","2","2","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","4","4","4","4","4","2","2","2","2","2","3","4","3","3","4","4","4","4","4","4","4","4","4","4","4","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)","4","4","4","4","4","1 (worst)","1 (worst)","1 (worst)","1 (worst)","1 (worst)",""
"2026/09/08 3:40:11 AM GMT+3","Yes, I agree","5 (best)","4","5 (best)","4","4","5 (best)","5 (best)","5 (best)","4","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","4","5 (best)","5 (best)","5 (best)","5 (best)","4","4","5 (best)","5 (best)","5 (best)","4","4","5 (best)","5 (best)","4","4","5 (best)","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","4","5 (best)","4","5 (best)","5 (best)","4","5 (best)","4","5 (best)","5 (best)","4","4","5 (best)","4","5 (best)","4","5 (best)","5 (best)","4","5 (best)","4","5 (best)","4","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","5 (best)","4","4","5 (best)","5 (best)","4","4","5 (best)","5 (best)","4","5 (best)","4","5 (best)","5 (best)","5 (best)","5 (best)","4","4","5 (best)","5 (best)","5 (best)","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","3","4","4","3","4","4","4","4","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","4","4","4","4","4","4","4","4","4","4","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)","5 (best)",""
